symbol,timestamp,open,high,low,close,volume
ETH,2025-05-29 00:00:00,2681.42,2779,2617.6,2632.51,571.4894
ETH,2025-05-30 00:00:00,2632.65,2649.18,2510.57,2529.21,298.9404
ETH,2025-05-31 00:00:00,2528.35,2549.86,2480,2529.47,224.8929
ETH,2025-06-01 00:00:00,2526.2,2545.96,2470.07,2534.16,162.7549
ETH,2025-06-02 00:00:00,2536.21,2613.39,2476.54,2603.78,338.5264
ETH,2025-06-03 00:00:00,2606.51,2651.66,2579.27,2589.22,217.4496
ETH,2025-06-04 00:00:00,2594.23,2678.04,2585.02,2607.28,108.3062
ETH,2025-06-05 00:00:00,2605.07,2640.29,2393.89,2417.83,386.0963
ETH,2025-06-06 00:00:00,2413.64,2529.82,2390,2479.62,366.841
ETH,2025-06-07 00:00:00,2477.18,2542.89,2457.83,2526.29,180.9331
ETH,2025-06-08 00:00:00,2525.29,2546.37,2493.17,2508.6,79.2409
ETH,2025-06-09 00:00:00,2509.12,2686.6,2478.56,2679.87,260.8114
ETH,2025-06-10 00:00:00,2679.74,2825.83,2657.7,2813.87,596.3098
ETH,2025-06-11 00:00:00,2811.06,2877.16,2744.93,2770.75,497.6279
ETH,2025-06-12 00:00:00,2769.93,2783.24,2619.28,2645.61,536.2038
ETH,2025-06-13 00:00:00,2642.16,2646.93,2440,2582.03,620.2428
ETH,2025-06-14 00:00:00,2574.78,2574.78,2491,2532.58,157.7116
ETH,2025-06-15 00:00:00,2530.97,2555.47,2491.57,2547.94,203.0409
ETH,2025-06-16 00:00:00,2543.04,2676.82,2517.17,2539,309.6087
ETH,2025-06-17 00:00:00,2536.08,2615.53,2461.02,2516.22,373.6166
ETH,2025-06-18 00:00:00,2512.07,2544.81,2469.35,2523.61,352.909
ETH,2025-06-19 00:00:00,2524.54,2545.31,2486.21,2521.69,195.2985
ETH,2025-06-20 00:00:00,2519.09,2565.57,2378.01,2407.82,450.6572
ETH,2025-06-21 00:00:00,2405.44,2447.75,2217.7,2300,356.4109
ETH,2025-06-22 00:00:00,2297.83,2322.69,2115,2225.79,568.5776
ETH,2025-06-23 00:00:00,2226.3,2437.05,2190.16,2412.2,502.4669
ETH,2025-06-24 00:00:00,2412.05,2478.56,2377.9,2444.68,199.752
ETH,2025-06-25 00:00:00,2446.62,2465.72,2391.53,2419.16,134.3257
ETH,2025-06-26 00:00:00,2419.54,2515,2396.3,2414.91,242.4542
ETH,2025-06-27 00:00:00,2417.56,2459,2382.17,2421.92,240.3201
ETH,2025-06-28 00:00:00,2421.77,2447.65,2405.19,2437.4,93.114
ETH,2025-06-29 00:00:00,2436.9,2522.57,2414.29,2500.61,198.5881
ETH,2025-06-30 00:00:00,2501.67,2521.58,2436.32,2487.03,346.9442
ETH,2025-07-01 00:00:00,2487.9,2498.52,2387.64,2402.84,319.0883
ETH,2025-07-02 00:00:00,2403.24,2615.26,2374.58,2567.25,533.2045
ETH,2025-07-03 00:00:00,2569.71,2633.47,2558.45,2589.38,267.6266
ETH,2025-07-04 00:00:00,2590.03,2598.63,2476.41,2511.3,244.9299
ETH,2025-07-05 00:00:00,2509.63,2528.25,2488.33,2517.6,99.6428
ETH,2025-07-06 00:00:00,2515.06,2603.59,2505.88,2569.59,141.9644
ETH,2025-07-07 00:00:00,2572.23,2588.41,2514.18,2545.28,174.7936
ETH,2025-07-08 00:00:00,2543.09,2626.63,2525.13,2616.36,288.3794
ETH,2025-07-09 00:00:00,2615.07,2793.89,2591.02,2766.31,382.6171
ETH,2025-07-10 00:00:00,2770.71,2998.1,2754.56,2952.17,528.627
ETH,2025-07-11 00:00:00,2952.81,3038,2915.65,2959.04,690.9912
ETH,2025-07-12 00:00:00,2959.04,2977.31,2905.31,2940.46,273.4527
ETH,2025-07-13 00:00:00,2941.41,3016,2936.35,2973.37,300.9207
ETH,2025-07-14 00:00:00,2969.55,3081.89,2964.21,3012.74,480.8365
ETH,2025-07-15 00:00:00,3014.52,3142.47,2934.27,3140.8,748.047
ETH,2025-07-16 00:00:00,3141.92,3423.36,3101.58,3370.92,967.7747
ETH,2025-07-17 00:00:00,3370.93,3518.85,3315,3470.93,883.1869
ETH,2025-07-18 00:00:00,3477.97,3671.63,3460.3,3548.02,778.3135
ETH,2025-07-19 00:00:00,3544.56,3603.96,3510.49,3591.95,220.7062
ETH,2025-07-20 00:00:00,3583.09,3821.94,3575.26,3760.19,684.0276
ETH,2025-07-21 00:00:00,3750.28,3854.7,3703.16,3767.17,575.7917
ETH,2025-07-22 00:00:00,3766.5,3789.83,3616,3749.89,795.2725
ETH,2025-07-23 00:00:00,3747.93,3763.63,3529.6,3624.05,446.417
ETH,2025-07-24 00:00:00,3624.05,3768.94,3509.09,3705.54,345.7538
